category,informationType,informativeness,sharingOwner,sharingOthers,age,gender,privacyNum,platform,extraversion,agreeableness,conscientiousness,neuroticism,openness,frequency,imagePath,originCategory,datasetName,id,nationality,bbox
identity,"[1, 0, 0, 0, 0, 0]",6,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",38,Male,1,Prolific,8,9,4,8,10,4,07b75881c1ffc059.jpg,identity,OpenImages,07b75881c1ffc059_5be9b18df5c1060001085048_identity,UK,"[0, 0, 0, 0]"
Person,"[1, 0, 1, 0, 1, 0]",6,"[0, 1, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",36,Male,9,CrowdWorks,4,4,7,7,9,3,453741c20c4af54d.jpg,Person,OpenImages,453741c20c4af54d_fw190d_Person,Japan,"[0, 0, 0, 0]"
Human body,"[1, 0, 1, 0, 1, 0]",5,"[0, 1, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",36,Male,9,CrowdWorks,4,4,7,7,9,3,453741c20c4af54d.jpg,Human body,OpenImages,453741c20c4af54d_fw190d_Human body,Japan,"[0, 0, 0, 0]"
Person,"[1, 0, 1, 1, 1, 0]",5,"[0, 1, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",44,Male,6,CrowdWorks,2,6,9,5,6,1,453741c20c4af54d.jpg,Person,OpenImages,453741c20c4af54d_payapaya_Person,Japan,"[0, 0, 0, 0]"
Human body,"[1, 0, 1, 1, 1, 0]",5,"[0, 1, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",44,Male,6,CrowdWorks,2,6,9,5,6,1,453741c20c4af54d.jpg,Human body,OpenImages,453741c20c4af54d_payapaya_Human body,Japan,"[0, 0, 0, 0]"
Person,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",46,Male,1,Prolific,6,4,5,7,8,3,453741c20c4af54d.jpg,Person,OpenImages,453741c20c4af54d_5f8aa207fb62d0000838847c_Person,UK,"[0, 0, 0, 0]"
Human body,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",46,Male,1,Prolific,6,4,5,7,8,3,453741c20c4af54d.jpg,Human body,OpenImages,453741c20c4af54d_5f8aa207fb62d0000838847c_Human body,UK,"[0, 0, 0, 0]"
Person,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",20,Male,0,Prolific,5,6,6,6,6,1,453741c20c4af54d.jpg,Person,OpenImages,453741c20c4af54d_6290fea2c6e6821bf8d3c606_Person,UK,"[0, 0, 0, 0]"
Human body,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",20,Male,0,Prolific,5,6,6,6,6,1,453741c20c4af54d.jpg,Human body,OpenImages,453741c20c4af54d_6290fea2c6e6821bf8d3c606_Human body,UK,"[0, 0, 0, 0]"
license_plate,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",40,Male,4,CrowdWorks,4,6,6,6,6,3,126592.jpg,license_plate,LVIS,126592_nenado3_license_plate,Japan,"[0, 0, 0, 0]"
Object 0,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",40,Male,4,CrowdWorks,4,6,6,6,6,3,126592.jpg,Object 0,LVIS,126592_nenado3_Object 0,Japan,"[0, 0, 0, 0]"
license_plate,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",59,Male,5,CrowdWorks,6,6,6,4,7,1,126592.jpg,license_plate,LVIS,126592_cemoysdemay_license_plate,Japan,"[0, 0, 0, 0]"
Object 0,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",59,Male,5,CrowdWorks,6,6,6,4,7,1,126592.jpg,Object 0,LVIS,126592_cemoysdemay_Object 0,Japan,"[0, 0, 0, 0]"
license_plate,"[0, 0, 0, 0, 1, 0]",5,"[0, 1, 1, 0, 0, 0, 0]","[0, 1, 1, 0, 0, 0, 0]",28,Male,7,Prolific,3,5,4,9,6,0,126592.jpg,license_plate,LVIS,126592_606c7b742c448e3ca901220c_license_plate,UK,"[0, 0, 0, 0]"
Object 0,"[0, 1, 0, 0, 0, 0]",2,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",28,Male,7,Prolific,3,5,4,9,6,0,126592.jpg,Object 0,LVIS,126592_606c7b742c448e3ca901220c_Object 0,UK,"[0, 0, 0, 0]"
license_plate,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",20,Male,1,Prolific,5,7,6,3,4,0,126592.jpg,license_plate,LVIS,126592_64027086a57e7f8aa6c5d4d8_license_plate,UK,"[0, 0, 0, 0]"
Object 0,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",20,Male,1,Prolific,5,7,6,3,4,0,126592.jpg,Object 0,LVIS,126592_64027086a57e7f8aa6c5d4d8_Object 0,UK,"[0, 0, 0, 0]"
identity,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",47,Male,3,CrowdWorks,4,6,3,6,4,1,011aa924ac37f130.jpg,identity,OpenImages,011aa924ac37f130_shinmiko_identity,Japan,"[0, 0, 0, 0]"
identity,"[0, 0, 0, 1, 0, 0]",5,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",54,Female,5,CrowdWorks,5,8,9,3,10,1,011aa924ac37f130.jpg,identity,OpenImages,011aa924ac37f130_miomio33379_identity,Japan,"[0, 0, 0, 0]"
identity,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",22,Male,7,Prolific,6,9,4,6,10,1,011aa924ac37f130.jpg,identity,OpenImages,011aa924ac37f130_64012a030552c76924b5c0fd_identity,UK,"[0, 0, 0, 0]"
identity,"[0, 0, 0, 0, 0, 1]",1,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",37,Male,6,Prolific,3,7,7,7,8,0,011aa924ac37f130.jpg,identity,OpenImages,011aa924ac37f130_634d7250a9dbe47b2b1d110f_identity,UK,"[0, 0, 0, 0]"
Musical instrument,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",39,Female,6,CrowdWorks,4,6,6,9,10,3,167e73349f96c0e2.jpg,Musical instrument,OpenImages,167e73349f96c0e2_minmi-o_Musical instrument,Japan,"[0, 0, 0, 0]"
Musical instrument,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",28,Male,9,CrowdWorks,4,5,6,8,7,3,167e73349f96c0e2.jpg,Musical instrument,OpenImages,167e73349f96c0e2_george1002_Musical instrument,Japan,"[0, 0, 0, 0]"
Musical instrument,"[0, 1, 0, 0, 0, 0]",1,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",40,Male,8,Prolific,6,7,9,7,6,1,167e73349f96c0e2.jpg,Musical instrument,OpenImages,167e73349f96c0e2_758463_Musical instrument,UK,"[0, 0, 0, 0]"
Musical instrument,"[0, 0, 1, 0, 0, 0]",4,"[0, 1, 1, 1, 1, 0, 0]","[0, 1, 1, 1, 1, 0, 0]",21,Female,4,Prolific,10,4,4,8,7,2,167e73349f96c0e2.jpg,Musical instrument,OpenImages,167e73349f96c0e2_5ffdff62f54a34437ac7b628_Musical instrument,UK,"[0, 0, 0, 0]"
dog,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",71,Male,4,CrowdWorks,3,4,8,9,9,1,102133.jpg,dog,LVIS,102133_Suyama_dog,Japan,"[0, 0, 0, 0]"
dog,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",24,Female,5,CrowdWorks,4,6,5,8,7,1,102133.jpg,dog,LVIS,102133_yurikaf7021_dog,Japan,"[0, 0, 0, 0]"
dog,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",34,Female,2,Prolific,4,4,5,7,4,1,102133.jpg,dog,LVIS,102133_601b18ec1839d548abd32b47_dog,UK,"[0, 0, 0, 0]"
dog,"[1, 1, 1, 0, 0, 0]",1,"[0, 0, 1, 0, 0, 0, 0]","[0, 1, 0, 1, 0, 0, 0]",43,Female,8,Prolific,6,8,9,6,8,2,102133.jpg,dog,LVIS,102133_5c7ed8dfe82bf100010fb514_dog,UK,"[0, 0, 0, 0]"
Human face,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",20,Male,0,CrowdWorks,4,6,8,8,6,2,2a3513ff487baa5e.jpg,Human face,OpenImages,2a3513ff487baa5e_Panamera8108_Human face,Japan,"[0, 0, 0, 0]"
Human hair,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",20,Male,0,CrowdWorks,4,6,8,8,6,2,2a3513ff487baa5e.jpg,Human hair,OpenImages,2a3513ff487baa5e_Panamera8108_Human hair,Japan,"[0, 0, 0, 0]"
Human body,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",20,Male,0,CrowdWorks,4,6,8,8,6,2,2a3513ff487baa5e.jpg,Human body,OpenImages,2a3513ff487baa5e_Panamera8108_Human body,Japan,"[0, 0, 0, 0]"
Human head,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",20,Male,0,CrowdWorks,4,6,8,8,6,2,2a3513ff487baa5e.jpg,Human head,OpenImages,2a3513ff487baa5e_Panamera8108_Human head,Japan,"[0, 0, 0, 0]"
Mammal,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",20,Male,0,CrowdWorks,4,6,8,8,6,2,2a3513ff487baa5e.jpg,Mammal,OpenImages,2a3513ff487baa5e_Panamera8108_Mammal,Japan,"[0, 0, 0, 0]"
Woman,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",20,Male,0,CrowdWorks,4,6,8,8,6,2,2a3513ff487baa5e.jpg,Woman,OpenImages,2a3513ff487baa5e_Panamera8108_Woman,Japan,"[0, 0, 0, 0]"
Chair,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",20,Male,0,CrowdWorks,4,6,8,8,6,2,2a3513ff487baa5e.jpg,Chair,OpenImages,2a3513ff487baa5e_Panamera8108_Chair,Japan,"[0, 0, 0, 0]"
Furniture,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",20,Male,0,CrowdWorks,4,6,8,8,6,2,2a3513ff487baa5e.jpg,Furniture,OpenImages,2a3513ff487baa5e_Panamera8108_Furniture,Japan,"[0, 0, 0, 0]"
Human face,"[1, 1, 0, 0, 0, 0]",4,"[0, 0, 1, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]",47,Female,8,CrowdWorks,6,7,8,5,9,3,2a3513ff487baa5e.jpg,Human face,OpenImages,2a3513ff487baa5e_wpeco_Human face,Japan,"[0, 0, 0, 0]"
Human hair,"[1, 1, 0, 1, 0, 0]",5,"[0, 0, 1, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]",47,Female,8,CrowdWorks,6,7,8,5,9,3,2a3513ff487baa5e.jpg,Human hair,OpenImages,2a3513ff487baa5e_wpeco_Human hair,Japan,"[0, 0, 0, 0]"
Human body,"[0, 1, 0, 0, 0, 0]",3,"[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 0]",47,Female,8,CrowdWorks,6,7,8,5,9,3,2a3513ff487baa5e.jpg,Human body,OpenImages,2a3513ff487baa5e_wpeco_Human body,Japan,"[0, 0, 0, 0]"
Human head,"[1, 1, 0, 1, 0, 0]",5,"[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]",47,Female,8,CrowdWorks,6,7,8,5,9,3,2a3513ff487baa5e.jpg,Human head,OpenImages,2a3513ff487baa5e_wpeco_Human head,Japan,"[0, 0, 0, 0]"
Mammal,"[1, 1, 0, 1, 0, 0]",5,"[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]",47,Female,8,CrowdWorks,6,7,8,5,9,3,2a3513ff487baa5e.jpg,Mammal,OpenImages,2a3513ff487baa5e_wpeco_Mammal,Japan,"[0, 0, 0, 0]"
Woman,"[1, 1, 1, 1, 0, 0]",5,"[0, 0, 1, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]",47,Female,8,CrowdWorks,6,7,8,5,9,3,2a3513ff487baa5e.jpg,Woman,OpenImages,2a3513ff487baa5e_wpeco_Woman,Japan,"[0, 0, 0, 0]"
Chair,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",47,Female,8,CrowdWorks,6,7,8,5,9,3,2a3513ff487baa5e.jpg,Chair,OpenImages,2a3513ff487baa5e_wpeco_Chair,Japan,"[0, 0, 0, 0]"
Furniture,"[1, 1, 0, 1, 0, 0]",5,"[0, 0, 1, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]",47,Female,8,CrowdWorks,6,7,8,5,9,3,2a3513ff487baa5e.jpg,Furniture,OpenImages,2a3513ff487baa5e_wpeco_Furniture,Japan,"[0, 0, 0, 0]"
Human face,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",48,Female,6,Prolific,4,7,8,5,5,0,2a3513ff487baa5e.jpg,Human face,OpenImages,2a3513ff487baa5e_5f21224ca1a41d48cd4fc726_Human face,UK,"[0, 0, 0, 0]"
Human hair,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",48,Female,6,Prolific,4,7,8,5,5,0,2a3513ff487baa5e.jpg,Human hair,OpenImages,2a3513ff487baa5e_5f21224ca1a41d48cd4fc726_Human hair,UK,"[0, 0, 0, 0]"
Human body,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",48,Female,6,Prolific,4,7,8,5,5,0,2a3513ff487baa5e.jpg,Human body,OpenImages,2a3513ff487baa5e_5f21224ca1a41d48cd4fc726_Human body,UK,"[0, 0, 0, 0]"
Human head,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",48,Female,6,Prolific,4,7,8,5,5,0,2a3513ff487baa5e.jpg,Human head,OpenImages,2a3513ff487baa5e_5f21224ca1a41d48cd4fc726_Human head,UK,"[0, 0, 0, 0]"
Mammal,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",48,Female,6,Prolific,4,7,8,5,5,0,2a3513ff487baa5e.jpg,Mammal,OpenImages,2a3513ff487baa5e_5f21224ca1a41d48cd4fc726_Mammal,UK,"[0, 0, 0, 0]"
Woman,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",48,Female,6,Prolific,4,7,8,5,5,0,2a3513ff487baa5e.jpg,Woman,OpenImages,2a3513ff487baa5e_5f21224ca1a41d48cd4fc726_Woman,UK,"[0, 0, 0, 0]"
Chair,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",48,Female,6,Prolific,4,7,8,5,5,0,2a3513ff487baa5e.jpg,Chair,OpenImages,2a3513ff487baa5e_5f21224ca1a41d48cd4fc726_Chair,UK,"[0, 0, 0, 0]"
Furniture,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",48,Female,6,Prolific,4,7,8,5,5,0,2a3513ff487baa5e.jpg,Furniture,OpenImages,2a3513ff487baa5e_5f21224ca1a41d48cd4fc726_Furniture,UK,"[0, 0, 0, 0]"
Human face,"[1, 0, 0, 0, 0, 0]",4,"[0, 1, 1, 1, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",23,Male,9,Prolific,5,8,6,6,8,2,2a3513ff487baa5e.jpg,Human face,OpenImages,2a3513ff487baa5e_63d7c67eba7ffd579000d595_Human face,UK,"[0, 0, 0, 0]"
Human hair,"[1, 0, 0, 0, 0, 0]",5,"[0, 1, 1, 1, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",23,Male,9,Prolific,5,8,6,6,8,2,2a3513ff487baa5e.jpg,Human hair,OpenImages,2a3513ff487baa5e_63d7c67eba7ffd579000d595_Human hair,UK,"[0, 0, 0, 0]"
Human body,"[1, 0, 0, 0, 0, 0]",4,"[0, 1, 1, 1, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",23,Male,9,Prolific,5,8,6,6,8,2,2a3513ff487baa5e.jpg,Human body,OpenImages,2a3513ff487baa5e_63d7c67eba7ffd579000d595_Human body,UK,"[0, 0, 0, 0]"
Human head,"[1, 0, 0, 0, 0, 0]",4,"[0, 1, 1, 1, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",23,Male,9,Prolific,5,8,6,6,8,2,2a3513ff487baa5e.jpg,Human head,OpenImages,2a3513ff487baa5e_63d7c67eba7ffd579000d595_Human head,UK,"[0, 0, 0, 0]"
Mammal,"[1, 0, 0, 0, 0, 0]",4,"[0, 1, 1, 1, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",23,Male,9,Prolific,5,8,6,6,8,2,2a3513ff487baa5e.jpg,Mammal,OpenImages,2a3513ff487baa5e_63d7c67eba7ffd579000d595_Mammal,UK,"[0, 0, 0, 0]"
Woman,"[1, 0, 0, 0, 0, 0]",4,"[0, 1, 1, 1, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",23,Male,9,Prolific,5,8,6,6,8,2,2a3513ff487baa5e.jpg,Woman,OpenImages,2a3513ff487baa5e_63d7c67eba7ffd579000d595_Woman,UK,"[0, 0, 0, 0]"
Chair,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",23,Male,9,Prolific,5,8,6,6,8,2,2a3513ff487baa5e.jpg,Chair,OpenImages,2a3513ff487baa5e_63d7c67eba7ffd579000d595_Chair,UK,"[0, 0, 0, 0]"
Furniture,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",23,Male,9,Prolific,5,8,6,6,8,2,2a3513ff487baa5e.jpg,Furniture,OpenImages,2a3513ff487baa5e_63d7c67eba7ffd579000d595_Furniture,UK,"[0, 0, 0, 0]"
drum_(musical_instrument),"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",45,Male,9,CrowdWorks,4,4,5,10,8,1,494913.jpg,drum_(musical_instrument),LVIS,494913_hemutetu_drum_(musical_instrument),Japan,"[0, 0, 0, 0]"
television_set,"[0, 0, 0, 1, 0, 0]",1,"[0, 1, 1, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",45,Male,9,CrowdWorks,4,4,5,10,8,1,494913.jpg,television_set,LVIS,494913_hemutetu_television_set,Japan,"[0, 0, 0, 0]"
drum_(musical_instrument),"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",43,Male,6,CrowdWorks,3,6,4,8,5,1,494913.jpg,drum_(musical_instrument),LVIS,494913_tkiharatk1230197_drum_(musical_instrument),Japan,"[0, 0, 0, 0]"
television_set,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",43,Male,6,CrowdWorks,3,6,4,8,5,1,494913.jpg,television_set,LVIS,494913_tkiharatk1230197_television_set,Japan,"[0, 0, 0, 0]"
drum_(musical_instrument),"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",21,Male,6,Prolific,6,6,6,6,7,1,494913.jpg,drum_(musical_instrument),LVIS,494913_64012f5a283810b2f84795e7_drum_(musical_instrument),UK,"[0, 0, 0, 0]"
television_set,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",21,Male,6,Prolific,6,6,6,6,7,1,494913.jpg,television_set,LVIS,494913_64012f5a283810b2f84795e7_television_set,UK,"[0, 0, 0, 0]"
drum_(musical_instrument),"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",33,Other,1,Prolific,3,7,5,10,10,4,494913.jpg,drum_(musical_instrument),LVIS,494913_5f5199d96cfa743e8c9d0541_drum_(musical_instrument),UK,"[0, 0, 0, 0]"
television_set,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",33,Other,1,Prolific,3,7,5,10,10,4,494913.jpg,television_set,LVIS,494913_5f5199d96cfa743e8c9d0541_television_set,UK,"[0, 0, 0, 0]"
basket,"[0, 1, 0, 1, 0, 0]",6,"[0, 1, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",23,Female,8,CrowdWorks,5,8,5,10,10,2,13729.jpg,basket,LVIS,13729_sunomono0101_basket,Japan,"[0, 0, 0, 0]"
remote_control,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",23,Female,8,CrowdWorks,5,8,5,10,10,2,13729.jpg,remote_control,LVIS,13729_sunomono0101_remote_control,Japan,"[0, 0, 0, 0]"
vent,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",23,Female,8,CrowdWorks,5,8,5,10,10,2,13729.jpg,vent,LVIS,13729_sunomono0101_vent,Japan,"[0, 0, 0, 0]"
beer_bottle,"[0, 1, 0, 1, 0, 0]",4,"[0, 0, 1, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]",23,Female,8,CrowdWorks,5,8,5,10,10,2,13729.jpg,beer_bottle,LVIS,13729_sunomono0101_beer_bottle,Japan,"[0, 0, 0, 0]"
painting,"[1, 1, 0, 1, 0, 0]",5,"[0, 1, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",23,Female,8,CrowdWorks,5,8,5,10,10,2,13729.jpg,painting,LVIS,13729_sunomono0101_painting,Japan,"[0, 0, 0, 0]"
watch,"[1, 0, 0, 1, 0, 0]",4,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",23,Female,8,CrowdWorks,5,8,5,10,10,2,13729.jpg,watch,LVIS,13729_sunomono0101_watch,Japan,"[0, 0, 0, 0]"
basket,"[1, 0, 0, 0, 0, 0]",2,"[0, 1, 1, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",27,Female,10,CrowdWorks,4,6,4,9,10,1,13729.jpg,basket,LVIS,13729_うみすずめ_basket,Japan,"[0, 0, 0, 0]"
remote_control,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",27,Female,10,CrowdWorks,4,6,4,9,10,1,13729.jpg,remote_control,LVIS,13729_うみすずめ_remote_control,Japan,"[0, 0, 0, 0]"
vent,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",27,Female,10,CrowdWorks,4,6,4,9,10,1,13729.jpg,vent,LVIS,13729_うみすずめ_vent,Japan,"[0, 0, 0, 0]"
beer_bottle,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",27,Female,10,CrowdWorks,4,6,4,9,10,1,13729.jpg,beer_bottle,LVIS,13729_うみすずめ_beer_bottle,Japan,"[0, 0, 0, 0]"
painting,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",27,Female,10,CrowdWorks,4,6,4,9,10,1,13729.jpg,painting,LVIS,13729_うみすずめ_painting,Japan,"[0, 0, 0, 0]"
watch,"[1, 0, 0, 1, 0, 0]",5,"[0, 1, 1, 1, 1, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",27,Female,10,CrowdWorks,4,6,4,9,10,1,13729.jpg,watch,LVIS,13729_うみすずめ_watch,Japan,"[0, 0, 0, 0]"
basket,"[0, 0, 0, 0, 0, 1]",4,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",42,Female,7,Prolific,4,9,8,4,8,2,13729.jpg,basket,LVIS,13729_61471dc7b568462f804535ff_basket,UK,"[0, 0, 0, 0]"
remote_control,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",42,Female,7,Prolific,4,9,8,4,8,2,13729.jpg,remote_control,LVIS,13729_61471dc7b568462f804535ff_remote_control,UK,"[0, 0, 0, 0]"
vent,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",42,Female,7,Prolific,4,9,8,4,8,2,13729.jpg,vent,LVIS,13729_61471dc7b568462f804535ff_vent,UK,"[0, 0, 0, 0]"
beer_bottle,"[0, 1, 1, 1, 0, 0]",3,"[0, 0, 0, 1, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]",42,Female,7,Prolific,4,9,8,4,8,2,13729.jpg,beer_bottle,LVIS,13729_61471dc7b568462f804535ff_beer_bottle,UK,"[0, 0, 0, 0]"
painting,"[0, 0, 0, 0, 0, 0]",-1,"[0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0]",42,Female,7,Prolific,4,9,8,4,8,2,13729.jpg,painting,LVIS,13729_61471dc7b568462f804535ff_painting,UK,"[0, 0, 0, 0]"
