category,informationType,informativeness,sharing,age,gender,platform,extraversion,agreeableness,conscientiousness,neuroticism,openness,imagePath,originCategory,datasetName,id,bbox
House,4,3,0,57,Female,CrowdWorks,3,7,9,9,7,58b8894b0151952e.jpg,House,OpenImages,58b8894b0151952e_House,"[0, 0, 0, 0]"
Dog,2,4,0,59,Female,Prolific,6,4,10,7,8,04b9f8abc09386ee.jpg,Dog,OpenImages,04b9f8abc09386ee_Dog,"[0, 0, 0, 0]"
Person,0,5,0,59,Female,Prolific,6,4,10,7,8,04b9f8abc09386ee.jpg,Person,OpenImages,04b9f8abc09386ee_Person,"[0, 0, 0, 0]"
Person,0,6,2,34,Male,Prolific,2,7,7,4,6,731173d27e06b210.jpg,Person,OpenImages,731173d27e06b210_Person,"[0, 0, 0, 0]"
monitor_(computer_equipment) computer_monitor,0,1,2,36,Male,CrowdWorks,4,5,6,8,8,254420.jpg,monitor_(computer_equipment) computer_monitor,LVIS,254420_monitor_(computer_equipment) computer_monitor,"[0, 0, 0, 0]"
radio_receiver,2,2,2,36,Male,CrowdWorks,4,5,6,8,8,254420.jpg,radio_receiver,LVIS,254420_radio_receiver,"[0, 0, 0, 0]"
laptop_computer,2,1,2,36,Male,CrowdWorks,4,5,6,8,8,254420.jpg,laptop_computer,LVIS,254420_laptop_computer,"[0, 0, 0, 0]"
book,2,4,2,36,Male,CrowdWorks,4,5,6,8,8,254420.jpg,book,LVIS,254420_book,"[0, 0, 0, 0]"
Human body,0,4,1,25,Female,CrowdWorks,2,9,7,10,9,36f8e72cc0c8a851.jpg,Human body,OpenImages,36f8e72cc0c8a851_Human body,"[0, 0, 0, 0]"
Human head,0,4,1,25,Female,CrowdWorks,2,9,7,10,9,36f8e72cc0c8a851.jpg,Human head,OpenImages,36f8e72cc0c8a851_Human head,"[0, 0, 0, 0]"
Man,0,4,1,25,Female,CrowdWorks,2,9,7,10,9,36f8e72cc0c8a851.jpg,Man,OpenImages,36f8e72cc0c8a851_Man,"[0, 0, 0, 0]"
Human body,0,3,0,53,Male,Prolific,5,6,9,6,5,36f8e72cc0c8a851.jpg,Human body,OpenImages,36f8e72cc0c8a851_Human body,"[0, 0, 0, 0]"
Human head,0,3,1,53,Male,Prolific,5,6,9,6,5,36f8e72cc0c8a851.jpg,Human head,OpenImages,36f8e72cc0c8a851_Human head,"[0, 0, 0, 0]"
Man,0,2,0,53,Male,Prolific,5,6,9,6,5,36f8e72cc0c8a851.jpg,Man,OpenImages,36f8e72cc0c8a851_Man,"[0, 0, 0, 0]"
book,2,4,0,37,Male,CrowdWorks,2,6,5,9,6,498997.jpg,book,LVIS,498997_book,"[0, 0, 0, 0]"
webcam,0,4,0,35,Male,Prolific,5,9,10,7,5,498997.jpg,webcam,LVIS,498997_webcam,"[0, 0, 0, 0]"
signboard,1,3,0,21,Female,Prolific,4,6,4,6,7,278796.jpg,signboard,LVIS,278796_signboard,"[0, 0, 0, 0]"
polo_shirt,2,3,2,44,Male,CrowdWorks,3,3,7,10,9,170601.jpg,polo_shirt,LVIS,170601_polo_shirt,"[0, 0, 0, 0]"
person,0,6,1,44,Male,CrowdWorks,3,3,7,10,9,170601.jpg,person,LVIS,170601_person,"[0, 0, 0, 0]"
person,0,6,1,27,Male,Prolific,6,7,8,2,6,170601.jpg,person,LVIS,170601_person,"[0, 0, 0, 0]"
dog,2,5,1,32,Female,CrowdWorks,5,6,5,10,4,10219.jpg,dog,LVIS,10219_dog,"[0, 0, 0, 0]"
dress,0,4,0,28,Male,CrowdWorks,3,5,5,7,5,120676.jpg,dress,LVIS,120676_dress,"[0, 0, 0, 0]"
television_set,1,2,2,47,Male,CrowdWorks,6,8,8,9,9,157635.jpg,television_set,LVIS,157635_television_set,"[0, 0, 0, 0]"
Vehicle registration plate,0,5,0,32,Female,CrowdWorks,2,7,6,9,6,0170ea8e1a33375a.jpg,Vehicle registration plate,OpenImages,0170ea8e1a33375a_Vehicle registration plate,"[0, 0, 0, 0]"
Car,0,6,0,23,Female,Prolific,6,7,9,7,9,0170ea8e1a33375a.jpg,Car,OpenImages,0170ea8e1a33375a_Car,"[0, 0, 0, 0]"
Vehicle registration plate,0,6,0,23,Female,Prolific,6,7,9,7,9,0170ea8e1a33375a.jpg,Vehicle registration plate,OpenImages,0170ea8e1a33375a_Vehicle registration plate,"[0, 0, 0, 0]"
identity,0,3,1,27,Female,CrowdWorks,8,7,6,7,3,07b75881c1ffc059.jpg,identity,OpenImages,07b75881c1ffc059_identity,"[0, 0, 0, 0]"
identity,0,6,0,45,Female,Prolific,5,8,8,6,7,07b75881c1ffc059.jpg,identity,OpenImages,07b75881c1ffc059_identity,"[0, 0, 0, 0]"
Picture frame,2,4,1,49,Female,CrowdWorks,4,6,7,7,7,4704b2b97ee54840.jpg,Picture frame,OpenImages,4704b2b97ee54840_Picture frame,"[0, 0, 0, 0]"
Picture frame,2,6,1,28,Female,Prolific,5,6,7,5,6,4704b2b97ee54840.jpg,Picture frame,OpenImages,4704b2b97ee54840_Picture frame,"[0, 0, 0, 0]"
Chair,1,4,2,37,Female,CrowdWorks,4,4,8,9,10,1777256e995e1ec6.jpg,Chair,OpenImages,1777256e995e1ec6_Chair,"[0, 0, 0, 0]"
Building,1,4,1,37,Female,CrowdWorks,4,4,8,9,10,1777256e995e1ec6.jpg,Building,OpenImages,1777256e995e1ec6_Building,"[0, 0, 0, 0]"
Person,0,5,1,37,Female,CrowdWorks,4,4,8,9,10,1777256e995e1ec6.jpg,Person,OpenImages,1777256e995e1ec6_Person,"[0, 0, 0, 0]"
Human body,0,4,1,37,Female,CrowdWorks,4,4,8,9,10,1777256e995e1ec6.jpg,Human body,OpenImages,1777256e995e1ec6_Human body,"[0, 0, 0, 0]"
kite,1,2,2,21,Female,CrowdWorks,3,7,6,9,5,169152.jpg,kite,LVIS,169152_kite,"[0, 0, 0, 0]"
person,1,3,2,21,Female,CrowdWorks,3,7,6,9,5,169152.jpg,person,LVIS,169152_person,"[0, 0, 0, 0]"
person,3,0,2,44,Female,Prolific,8,10,10,5,6,169152.jpg,person,LVIS,169152_person,"[0, 0, 0, 0]"
Car,1,6,1,21,Female,CrowdWorks,3,7,6,9,5,0ee131f55fb5b7f2.jpg,Car,OpenImages,0ee131f55fb5b7f2_Car,"[0, 0, 0, 0]"
Vehicle registration plate,0,3,0,21,Female,CrowdWorks,3,7,6,9,5,0ee131f55fb5b7f2.jpg,Vehicle registration plate,OpenImages,0ee131f55fb5b7f2_Vehicle registration plate,"[0, 0, 0, 0]"
identity,0,6,0,51,Male,Prolific,5,7,8,8,7,1428a8ee731ecc7e.jpg,identity,OpenImages,1428a8ee731ecc7e_identity,"[0, 0, 0, 0]"
faucet,1,0,2,44,Male,CrowdWorks,3,6,9,8,4,103877.jpg,faucet,LVIS,103877_faucet,"[0, 0, 0, 0]"
cat,2,4,1,44,Male,CrowdWorks,3,6,9,8,4,103877.jpg,cat,LVIS,103877_cat,"[0, 0, 0, 0]"
bath_mat,1,0,2,44,Male,CrowdWorks,3,6,9,8,4,103877.jpg,bath_mat,LVIS,103877_bath_mat,"[0, 0, 0, 0]"
cat,0,2,2,32,Male,Prolific,3,3,6,7,9,103877.jpg,cat,LVIS,103877_cat,"[0, 0, 0, 0]"
Person,2,5,3,30,Male,Prolific,8,7,4,8,9,1be0a6a7ac54abe7.jpg,Person,OpenImages,1be0a6a7ac54abe7_Person,"[0, 0, 0, 0]"
Cello,0,4,3,30,Male,Prolific,8,7,4,8,9,1be0a6a7ac54abe7.jpg,Cello,OpenImages,1be0a6a7ac54abe7_Cello,"[0, 0, 0, 0]"
Microphone,1,4,3,30,Male,Prolific,8,7,4,8,9,1be0a6a7ac54abe7.jpg,Microphone,OpenImages,1be0a6a7ac54abe7_Microphone,"[0, 0, 0, 0]"
Violin,2,5,3,30,Male,Prolific,8,7,4,8,9,1be0a6a7ac54abe7.jpg,Violin,OpenImages,1be0a6a7ac54abe7_Violin,"[0, 0, 0, 0]"
person,0,6,1,48,Male,CrowdWorks,8,6,9,7,8,146467.jpg,person,LVIS,146467_person,"[0, 0, 0, 0]"
person,0,5,1,48,Female,Prolific,2,6,9,10,6,146467.jpg,person,LVIS,146467_person,"[0, 0, 0, 0]"
Book,2,1,0,31,Male,Prolific,4,6,5,3,6,6e9dcdbee43b0346.jpg,Book,OpenImages,6e9dcdbee43b0346_Book,"[0, 0, 0, 0]"
refrigerator,1,4,2,50,Male,CrowdWorks,2,7,2,10,5,118234.jpg,refrigerator,LVIS,118234_refrigerator,"[0, 0, 0, 0]"
bottle,2,4,2,50,Male,CrowdWorks,2,7,2,10,5,118234.jpg,bottle,LVIS,118234_bottle,"[0, 0, 0, 0]"
jar,2,4,2,50,Male,CrowdWorks,2,7,2,10,5,118234.jpg,jar,LVIS,118234_jar,"[0, 0, 0, 0]"
plastic_bag,2,4,2,50,Male,CrowdWorks,2,7,2,10,5,118234.jpg,plastic_bag,LVIS,118234_plastic_bag,"[0, 0, 0, 0]"
handbag,1,4,2,37,Male,CrowdWorks,2,6,3,9,4,11511.jpg,handbag,LVIS,11511_handbag,"[0, 0, 0, 0]"
statue_(sculpture),1,4,2,37,Male,CrowdWorks,2,6,3,9,4,11511.jpg,statue_(sculpture),LVIS,11511_statue_(sculpture),"[0, 0, 0, 0]"
person,0,6,0,37,Male,CrowdWorks,2,6,3,9,4,11511.jpg,person,LVIS,11511_person,"[0, 0, 0, 0]"
bench,1,4,2,37,Male,CrowdWorks,2,6,3,9,4,11511.jpg,bench,LVIS,11511_bench,"[0, 0, 0, 0]"
person,0,4,0,39,Male,Prolific,6,7,7,9,7,11511.jpg,person,LVIS,11511_person,"[0, 0, 0, 0]"
monitor_(computer_equipment) computer_monitor,4,3,1,34,Female,CrowdWorks,6,6,3,10,9,13659.jpg,monitor_(computer_equipment) computer_monitor,LVIS,13659_monitor_(computer_equipment) computer_monitor,"[0, 0, 0, 0]"
curtain,1,5,1,29,Female,CrowdWorks,3,7,4,9,9,131131.jpg,curtain,LVIS,131131_curtain,"[0, 0, 0, 0]"
television_set,1,4,1,29,Female,CrowdWorks,3,7,4,9,9,131131.jpg,television_set,LVIS,131131_television_set,"[0, 0, 0, 0]"
tablecloth,2,4,1,29,Female,CrowdWorks,3,7,4,9,9,131131.jpg,tablecloth,LVIS,131131_tablecloth,"[0, 0, 0, 0]"
laptop_computer,2,4,3,21,Male,Prolific,3,6,7,7,7,139763.jpg,laptop_computer,LVIS,139763_laptop_computer,"[0, 0, 0, 0]"
Fashion accessory,2,2,3,42,Female,CrowdWorks,4,7,5,9,8,0386a1c1ca5b2da7.jpg,Fashion accessory,OpenImages,0386a1c1ca5b2da7_Fashion accessory,"[0, 0, 0, 0]"
Motorcycle,0,2,2,42,Female,CrowdWorks,4,7,5,9,8,0386a1c1ca5b2da7.jpg,Motorcycle,OpenImages,0386a1c1ca5b2da7_Motorcycle,"[0, 0, 0, 0]"
Person,0,5,1,42,Female,CrowdWorks,4,7,5,9,8,0386a1c1ca5b2da7.jpg,Person,OpenImages,0386a1c1ca5b2da7_Person,"[0, 0, 0, 0]"
Clothing,0,3,0,42,Female,CrowdWorks,4,7,5,9,8,0386a1c1ca5b2da7.jpg,Clothing,OpenImages,0386a1c1ca5b2da7_Clothing,"[0, 0, 0, 0]"
Motorcycle,0,6,1,32,Male,Prolific,2,8,4,5,9,0386a1c1ca5b2da7.jpg,Motorcycle,OpenImages,0386a1c1ca5b2da7_Motorcycle,"[0, 0, 0, 0]"
Person,0,6,1,32,Male,Prolific,2,8,4,5,9,0386a1c1ca5b2da7.jpg,Person,OpenImages,0386a1c1ca5b2da7_Person,"[0, 0, 0, 0]"
signboard,1,3,3,45,Female,CrowdWorks,3,8,10,8,6,204825.jpg,signboard,LVIS,204825_signboard,"[0, 0, 0, 0]"
polo_shirt,2,3,3,45,Female,CrowdWorks,3,8,10,8,6,204825.jpg,polo_shirt,LVIS,204825_polo_shirt,"[0, 0, 0, 0]"
license_plate,0,5,0,41,Female,CrowdWorks,5,5,7,8,7,102411.jpg,license_plate,LVIS,102411_license_plate,"[0, 0, 0, 0]"
motorcycle,2,4,1,41,Female,CrowdWorks,5,5,7,8,7,102411.jpg,motorcycle,LVIS,102411_motorcycle,"[0, 0, 0, 0]"
sweatshirt,0,4,0,41,Female,CrowdWorks,5,5,7,8,7,102411.jpg,sweatshirt,LVIS,102411_sweatshirt,"[0, 0, 0, 0]"
sunglasses,1,4,0,41,Female,CrowdWorks,5,5,7,8,7,102411.jpg,sunglasses,LVIS,102411_sunglasses,"[0, 0, 0, 0]"
license_plate,0,6,0,35,Female,Prolific,5,6,6,10,6,102411.jpg,license_plate,LVIS,102411_license_plate,"[0, 0, 0, 0]"
Human face,3,5,1,43,Male,Prolific,9,10,7,9,7,4a8a66861e06950b.jpg,Human face,OpenImages,4a8a66861e06950b_Human face,"[0, 0, 0, 0]"
Person,3,5,1,43,Male,Prolific,9,10,7,9,7,4a8a66861e06950b.jpg,Person,OpenImages,4a8a66861e06950b_Person,"[0, 0, 0, 0]"
Human head,3,5,1,43,Male,Prolific,9,10,7,9,7,4a8a66861e06950b.jpg,Human head,OpenImages,4a8a66861e06950b_Human head,"[0, 0, 0, 0]"
Man,3,5,1,43,Male,Prolific,9,10,7,9,7,4a8a66861e06950b.jpg,Man,OpenImages,4a8a66861e06950b_Man,"[0, 0, 0, 0]"
Human face,0,6,0,44,Male,CrowdWorks,5,8,5,6,10,0c78bb26de5c0090.jpg,Human face,OpenImages,0c78bb26de5c0090_Human face,"[0, 0, 0, 0]"
Human hair,2,5,1,44,Male,CrowdWorks,5,8,5,6,10,0c78bb26de5c0090.jpg,Human hair,OpenImages,0c78bb26de5c0090_Human hair,"[0, 0, 0, 0]"
Girl,0,6,0,44,Male,CrowdWorks,5,8,5,6,10,0c78bb26de5c0090.jpg,Girl,OpenImages,0c78bb26de5c0090_Girl,"[0, 0, 0, 0]"
Crown,0,6,0,44,Male,CrowdWorks,5,8,5,6,10,0c78bb26de5c0090.jpg,Crown,OpenImages,0c78bb26de5c0090_Crown,"[0, 0, 0, 0]"
Human nose,0,5,0,44,Male,CrowdWorks,5,8,5,6,10,0c78bb26de5c0090.jpg,Human nose,OpenImages,0c78bb26de5c0090_Human nose,"[0, 0, 0, 0]"
Clothing,2,5,0,44,Male,CrowdWorks,5,8,5,6,10,0c78bb26de5c0090.jpg,Clothing,OpenImages,0c78bb26de5c0090_Clothing,"[0, 0, 0, 0]"
Human body,0,4,1,44,Male,CrowdWorks,5,8,5,6,10,0c78bb26de5c0090.jpg,Human body,OpenImages,0c78bb26de5c0090_Human body,"[0, 0, 0, 0]"
Human eye,0,6,0,44,Male,CrowdWorks,5,8,5,6,10,0c78bb26de5c0090.jpg,Human eye,OpenImages,0c78bb26de5c0090_Human eye,"[0, 0, 0, 0]"
Human ear,0,2,1,44,Male,CrowdWorks,5,8,5,6,10,0c78bb26de5c0090.jpg,Human ear,OpenImages,0c78bb26de5c0090_Human ear,"[0, 0, 0, 0]"
Human mouth,0,3,1,44,Male,CrowdWorks,5,8,5,6,10,0c78bb26de5c0090.jpg,Human mouth,OpenImages,0c78bb26de5c0090_Human mouth,"[0, 0, 0, 0]"
Woman,0,6,0,44,Male,CrowdWorks,5,8,5,6,10,0c78bb26de5c0090.jpg,Woman,OpenImages,0c78bb26de5c0090_Woman,"[0, 0, 0, 0]"
Human face,0,5,1,43,Female,Prolific,4,6,8,10,10,0c78bb26de5c0090.jpg,Human face,OpenImages,0c78bb26de5c0090_Human face,"[0, 0, 0, 0]"
Human hair,0,2,2,43,Female,Prolific,4,6,8,10,10,0c78bb26de5c0090.jpg,Human hair,OpenImages,0c78bb26de5c0090_Human hair,"[0, 0, 0, 0]"
Girl,0,5,1,43,Female,Prolific,4,6,8,10,10,0c78bb26de5c0090.jpg,Girl,OpenImages,0c78bb26de5c0090_Girl,"[0, 0, 0, 0]"
Human nose,0,4,1,43,Female,Prolific,4,6,8,10,10,0c78bb26de5c0090.jpg,Human nose,OpenImages,0c78bb26de5c0090_Human nose,"[0, 0, 0, 0]"
Clothing,0,0,2,43,Female,Prolific,4,6,8,10,10,0c78bb26de5c0090.jpg,Clothing,OpenImages,0c78bb26de5c0090_Clothing,"[0, 0, 0, 0]"
Human body,0,4,1,43,Female,Prolific,4,6,8,10,10,0c78bb26de5c0090.jpg,Human body,OpenImages,0c78bb26de5c0090_Human body,"[0, 0, 0, 0]"
Human eye,0,4,1,43,Female,Prolific,4,6,8,10,10,0c78bb26de5c0090.jpg,Human eye,OpenImages,0c78bb26de5c0090_Human eye,"[0, 0, 0, 0]"
Human ear,0,1,2,43,Female,Prolific,4,6,8,10,10,0c78bb26de5c0090.jpg,Human ear,OpenImages,0c78bb26de5c0090_Human ear,"[0, 0, 0, 0]"
Human mouth,0,2,1,43,Female,Prolific,4,6,8,10,10,0c78bb26de5c0090.jpg,Human mouth,OpenImages,0c78bb26de5c0090_Human mouth,"[0, 0, 0, 0]"
Woman,0,5,1,43,Female,Prolific,4,6,8,10,10,0c78bb26de5c0090.jpg,Woman,OpenImages,0c78bb26de5c0090_Woman,"[0, 0, 0, 0]"
bowl,1,6,1,44,Male,CrowdWorks,3,3,7,10,9,133679.jpg,bowl,LVIS,133679_bowl,"[0, 0, 0, 0]"
speaker_(stero_equipment),1,6,1,44,Male,CrowdWorks,3,3,7,10,9,133679.jpg,speaker_(stero_equipment),LVIS,133679_speaker_(stero_equipment),"[0, 0, 0, 0]"
coffee_table,1,6,1,44,Male,CrowdWorks,3,3,7,10,9,133679.jpg,coffee_table,LVIS,133679_coffee_table,"[0, 0, 0, 0]"
armchair,1,6,1,44,Male,CrowdWorks,3,3,7,10,9,133679.jpg,armchair,LVIS,133679_armchair,"[0, 0, 0, 0]"
refrigerator,1,6,1,44,Male,CrowdWorks,3,3,7,10,9,133679.jpg,refrigerator,LVIS,133679_refrigerator,"[0, 0, 0, 0]"
chair,1,6,1,44,Male,CrowdWorks,3,3,7,10,9,133679.jpg,chair,LVIS,133679_chair,"[0, 0, 0, 0]"
Human hair,0,2,1,41,Male,CrowdWorks,4,6,8,5,8,4ad6955cadc6eafa.jpg,Human hair,OpenImages,4ad6955cadc6eafa_Human hair,"[0, 0, 0, 0]"
Girl,0,6,1,41,Male,CrowdWorks,4,6,8,5,8,4ad6955cadc6eafa.jpg,Girl,OpenImages,4ad6955cadc6eafa_Girl,"[0, 0, 0, 0]"
Human body,0,1,1,41,Male,CrowdWorks,4,6,8,5,8,4ad6955cadc6eafa.jpg,Human body,OpenImages,4ad6955cadc6eafa_Human body,"[0, 0, 0, 0]"
Human head,0,6,1,41,Male,CrowdWorks,4,6,8,5,8,4ad6955cadc6eafa.jpg,Human head,OpenImages,4ad6955cadc6eafa_Human head,"[0, 0, 0, 0]"
Human eye,0,4,1,41,Male,CrowdWorks,4,6,8,5,8,4ad6955cadc6eafa.jpg,Human eye,OpenImages,4ad6955cadc6eafa_Human eye,"[0, 0, 0, 0]"
Human hand,0,1,2,41,Male,CrowdWorks,4,6,8,5,8,4ad6955cadc6eafa.jpg,Human hand,OpenImages,4ad6955cadc6eafa_Human hand,"[0, 0, 0, 0]"
Human mouth,0,1,1,41,Male,CrowdWorks,4,6,8,5,8,4ad6955cadc6eafa.jpg,Human mouth,OpenImages,4ad6955cadc6eafa_Human mouth,"[0, 0, 0, 0]"
Human arm,0,1,2,41,Male,CrowdWorks,4,6,8,5,8,4ad6955cadc6eafa.jpg,Human arm,OpenImages,4ad6955cadc6eafa_Human arm,"[0, 0, 0, 0]"
Human foot,0,1,2,41,Male,CrowdWorks,4,6,8,5,8,4ad6955cadc6eafa.jpg,Human foot,OpenImages,4ad6955cadc6eafa_Human foot,"[0, 0, 0, 0]"
Woman,0,6,1,41,Male,CrowdWorks,4,6,8,5,8,4ad6955cadc6eafa.jpg,Woman,OpenImages,4ad6955cadc6eafa_Woman,"[0, 0, 0, 0]"
napkin,2,6,0,32,Male,CrowdWorks,5,7,7,8,9,11147.jpg,napkin,LVIS,11147_napkin,"[0, 0, 0, 0]"
Human face,0,6,0,35,Male,CrowdWorks,3,3,4,10,8,01c79b8cc239037d.jpg,Human face,OpenImages,01c79b8cc239037d_Human face,"[0, 0, 0, 0]"
Human hair,0,6,0,35,Male,CrowdWorks,3,3,4,10,8,01c79b8cc239037d.jpg,Human hair,OpenImages,01c79b8cc239037d_Human hair,"[0, 0, 0, 0]"
Mammal,0,6,0,35,Male,CrowdWorks,3,3,4,10,8,01c79b8cc239037d.jpg,Mammal,OpenImages,01c79b8cc239037d_Mammal,"[0, 0, 0, 0]"
Human arm,0,6,0,35,Male,CrowdWorks,3,3,4,10,8,01c79b8cc239037d.jpg,Human arm,OpenImages,01c79b8cc239037d_Human arm,"[0, 0, 0, 0]"
Woman,0,6,0,35,Male,CrowdWorks,3,3,4,10,8,01c79b8cc239037d.jpg,Woman,OpenImages,01c79b8cc239037d_Woman,"[0, 0, 0, 0]"
Human face,0,3,1,22,Female,Prolific,4,8,6,6,6,01c79b8cc239037d.jpg,Human face,OpenImages,01c79b8cc239037d_Human face,"[0, 0, 0, 0]"
Clothing,0,4,1,22,Female,Prolific,4,8,6,6,6,01c79b8cc239037d.jpg,Clothing,OpenImages,01c79b8cc239037d_Clothing,"[0, 0, 0, 0]"
armor,4,3,1,38,Female,CrowdWorks,8,6,8,4,6,303260.jpg,armor,LVIS,303260_armor,"[0, 0, 0, 0]"
jacket,0,1,2,37,Female,CrowdWorks,4,6,5,10,8,205473.jpg,jacket,LVIS,205473_jacket,"[0, 0, 0, 0]"
tag,0,1,2,37,Female,CrowdWorks,4,6,5,10,8,205473.jpg,tag,LVIS,205473_tag,"[0, 0, 0, 0]"
ski_pole,1,2,2,37,Female,CrowdWorks,4,6,5,10,8,205473.jpg,ski_pole,LVIS,205473_ski_pole,"[0, 0, 0, 0]"
identity,0,5,0,29,Male,Prolific,5,7,10,2,8,165624613ce0b10a.jpg,identity,OpenImages,165624613ce0b10a_identity,"[0, 0, 0, 0]"
lamppost,1,6,2,29,Female,CrowdWorks,3,7,4,9,9,119594.jpg,lamppost,LVIS,119594_lamppost,"[0, 0, 0, 0]"
streetlight,1,6,2,29,Female,CrowdWorks,3,7,4,9,9,119594.jpg,streetlight,LVIS,119594_streetlight,"[0, 0, 0, 0]"
boat,1,5,2,29,Female,CrowdWorks,3,7,4,9,9,119594.jpg,boat,LVIS,119594_boat,"[0, 0, 0, 0]"
boat,4,4,1,28,Female,Prolific,4,4,6,10,9,119594.jpg,boat,LVIS,119594_boat,"[0, 0, 0, 0]"
fan,1,2,2,22,Female,Prolific,4,8,6,6,6,274724.jpg,fan,LVIS,274724_fan,"[0, 0, 0, 0]"
ring,2,3,2,22,Female,Prolific,4,8,6,6,6,274724.jpg,ring,LVIS,274724_ring,"[0, 0, 0, 0]"
cigarette,2,3,0,22,Female,Prolific,4,8,6,6,6,274724.jpg,cigarette,LVIS,274724_cigarette,"[0, 0, 0, 0]"
Human face,0,6,0,63,Female,CrowdWorks,4,5,9,4,6,20af1d21449acdce.jpg,Human face,OpenImages,20af1d21449acdce_Human face,"[0, 0, 0, 0]"
Human hair,0,3,1,63,Female,CrowdWorks,4,5,9,4,6,20af1d21449acdce.jpg,Human hair,OpenImages,20af1d21449acdce_Human hair,"[0, 0, 0, 0]"
Girl,0,4,0,63,Female,CrowdWorks,4,5,9,4,6,20af1d21449acdce.jpg,Girl,OpenImages,20af1d21449acdce_Girl,"[0, 0, 0, 0]"
Person,0,6,0,63,Female,CrowdWorks,4,5,9,4,6,20af1d21449acdce.jpg,Person,OpenImages,20af1d21449acdce_Person,"[0, 0, 0, 0]"
Human nose,0,1,1,63,Female,CrowdWorks,4,5,9,4,6,20af1d21449acdce.jpg,Human nose,OpenImages,20af1d21449acdce_Human nose,"[0, 0, 0, 0]"
Clothing,0,1,1,63,Female,CrowdWorks,4,5,9,4,6,20af1d21449acdce.jpg,Clothing,OpenImages,20af1d21449acdce_Clothing,"[0, 0, 0, 0]"
Human body,0,4,1,63,Female,CrowdWorks,4,5,9,4,6,20af1d21449acdce.jpg,Human body,OpenImages,20af1d21449acdce_Human body,"[0, 0, 0, 0]"
Human head,0,5,0,63,Female,CrowdWorks,4,5,9,4,6,20af1d21449acdce.jpg,Human head,OpenImages,20af1d21449acdce_Human head,"[0, 0, 0, 0]"
Human eye,0,1,1,63,Female,CrowdWorks,4,5,9,4,6,20af1d21449acdce.jpg,Human eye,OpenImages,20af1d21449acdce_Human eye,"[0, 0, 0, 0]"
Human mouth,0,1,2,63,Female,CrowdWorks,4,5,9,4,6,20af1d21449acdce.jpg,Human mouth,OpenImages,20af1d21449acdce_Human mouth,"[0, 0, 0, 0]"
Human face,0,6,0,28,Male,CrowdWorks,3,4,4,10,10,081b5acdf94c392a.jpg,Human face,OpenImages,081b5acdf94c392a_Human face,"[0, 0, 0, 0]"
Human hair,2,2,1,28,Male,CrowdWorks,3,4,4,10,10,081b5acdf94c392a.jpg,Human hair,OpenImages,081b5acdf94c392a_Human hair,"[0, 0, 0, 0]"
Glasses,2,1,1,28,Male,CrowdWorks,3,4,4,10,10,081b5acdf94c392a.jpg,Glasses,OpenImages,081b5acdf94c392a_Glasses,"[0, 0, 0, 0]"
Fashion accessory,2,4,1,28,Male,CrowdWorks,3,4,4,10,10,081b5acdf94c392a.jpg,Fashion accessory,OpenImages,081b5acdf94c392a_Fashion accessory,"[0, 0, 0, 0]"
Girl,0,6,0,28,Male,CrowdWorks,3,4,4,10,10,081b5acdf94c392a.jpg,Girl,OpenImages,081b5acdf94c392a_Girl,"[0, 0, 0, 0]"
Sun hat,2,1,2,28,Male,CrowdWorks,3,4,4,10,10,081b5acdf94c392a.jpg,Sun hat,OpenImages,081b5acdf94c392a_Sun hat,"[0, 0, 0, 0]"
Human nose,0,4,1,28,Male,CrowdWorks,3,4,4,10,10,081b5acdf94c392a.jpg,Human nose,OpenImages,081b5acdf94c392a_Human nose,"[0, 0, 0, 0]"
Human body,0,2,1,28,Male,CrowdWorks,3,4,4,10,10,081b5acdf94c392a.jpg,Human body,OpenImages,081b5acdf94c392a_Human body,"[0, 0, 0, 0]"
Human head,0,2,1,28,Male,CrowdWorks,3,4,4,10,10,081b5acdf94c392a.jpg,Human head,OpenImages,081b5acdf94c392a_Human head,"[0, 0, 0, 0]"
Human eye,0,5,0,28,Male,CrowdWorks,3,4,4,10,10,081b5acdf94c392a.jpg,Human eye,OpenImages,081b5acdf94c392a_Human eye,"[0, 0, 0, 0]"
Cowboy hat,2,1,2,28,Male,CrowdWorks,3,4,4,10,10,081b5acdf94c392a.jpg,Cowboy hat,OpenImages,081b5acdf94c392a_Cowboy hat,"[0, 0, 0, 0]"
Human mouth,2,1,2,28,Male,CrowdWorks,3,4,4,10,10,081b5acdf94c392a.jpg,Human mouth,OpenImages,081b5acdf94c392a_Human mouth,"[0, 0, 0, 0]"
Fedora,2,1,2,28,Male,CrowdWorks,3,4,4,10,10,081b5acdf94c392a.jpg,Fedora,OpenImages,081b5acdf94c392a_Fedora,"[0, 0, 0, 0]"
Woman,0,6,0,28,Male,CrowdWorks,3,4,4,10,10,081b5acdf94c392a.jpg,Woman,OpenImages,081b5acdf94c392a_Woman,"[0, 0, 0, 0]"
Person,0,6,0,38,Female,CrowdWorks,5,7,6,8,8,6dc9c50218de115b.jpg,Person,OpenImages,6dc9c50218de115b_Person,"[0, 0, 0, 0]"
Clothing,2,3,2,38,Female,CrowdWorks,5,7,6,8,8,6dc9c50218de115b.jpg,Clothing,OpenImages,6dc9c50218de115b_Clothing,"[0, 0, 0, 0]"
